fid,ID_TRC,CLASSE,SENS_CIR,NOM_VOIE,POSITION_R,ID_CYCL,slope_edit,length,umbrell_id,slope,Q85,NBLane,ADT,centerline,Estmt,DJMA_d,CL_d,CL_x,DIVIDED,lts,lts_c,lts_w,lts_c_w,lts_negD,Reach,BLanW,TYPE_VOIE,TYPE_VOIE2,ParkW,contraReac,contraLanW,contraParW,Reach_negD,BLanW_negD,ParkW_negD,asymmetric,GESTION_R,ed_typvoi,ed_typvoi2,drvewayVis,Narrow1Way,PROTEGE_4S,NBR_VOIE,LOCALISATI,LOCALIS_2,cn_Buff_R,cn_Buff_L,Buffer_R,Buffer_L,ID_TRC_int
4573,1090117,5,0,François-Perrault,5,24930,-0.003053911,68.771,4572,-0.003053911,34,1,5115,1,5115.822,0,1,1,NOT,2,-9999,2,-9999,2,4,1.7,3,0,2.3,0,0,0,1.7,1.7,0,Yes,1,9999,0,0,0,NON,2,0,0,0,0,0,0,1090117
4574,1080579,0,1,24e,5,0,-0.0011083,234.619,4573,-0.0011083,34,1,1747,0,1747.642,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080579
4575,1080578,0,0,24e,5,0,-0.010207883,73.48,4574,-0.010207883,34,1,2242,0,2242.183,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080578
4576,1080576,0,-1,23e,5,0,-0.004447409,249.608,4575,-0.004447409,34,1,1719,0,1719.972,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080576
4577,1080575,0,-1,23e,5,0,-0.014332838,313.003,4576,-0.014332838,42,1,1822,0,1822.977,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080575
4578,1080574,0,-1,23e,5,0,-0.008509031,247.318,4577,-0.008509031,42,1,1471,0,1471.587,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080574
4579,1080716,7,1,Pie-IX,5,0,-0.003674634,62.884,4578,-0.003674634,42,3,11386,0,11386.656,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080716
4580,1080715,7,1,Pie-IX,5,0,0.00210779,62.18,4579,0.00210779,42,3,11845,0,11845.352,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080715
4581,1080711,7,1,Pie-IX,5,0,0.00762491,65.581,4580,0.00762491,42,3,13309,0,13309.208,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080711
4582,1080710,7,1,Pie-IX,5,0,0.002459797,60.987,4581,0.002459797,42,3,12906,0,12906.927,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080710
4583,1090027,5,0,Bélanger,5,0,0.002917318,89.133,4582,0.002917318,42,2,8358,1,8358.447,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090027
4584,1080418,0,0,Villeray,5,0,-0.0068058,58.783,4583,-0.0068058,34,1,202,0,202.223,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080418
4585,1080201,0,0,Jean-Rivard,5,0,0.011664321,44.551,4584,0.011664321,34,1,2504,0,2504.066,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080201
4586,1080199,0,0,Jean-Rivard,5,0,0.001102387,76.554,4585,0.001102387,34,1,2678,0,2678.538,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080199
4587,1080198,0,0,Jean-Rivard,5,0,0.003211628,67.143,4586,0.003211628,34,1,2535,0,2535.383,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080198
4588,1080197,0,0,Jean-Rivard,5,0,-0.000812982,70.536,4587,-0.000812982,34,1,3038,1,3038.288,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080197
4589,1080196,0,0,Jean-Rivard,5,0,-0.005907608,60.945,4588,-0.005907608,34,1,4471,1,4471.134,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080196
4590,1080195,0,0,Jean-Rivard,5,0,0.00606829,60.979,4589,0.00606829,34,1,3914,1,3914.484,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080195
4591,1080194,0,0,Jean-Rivard,5,0,-0.002009159,64.709,4590,-0.002009159,34,1,4034,1,4034.876,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080194
4592,1080192,5,0,Jarry,5,0,-0.004326512,60.1,4591,-0.004326512,42,1,2250,1,-8888,-8888,-8888,-8888,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080192
4593,1100111,0,0,Everett,5,0,-0.004731258,80.264,4592,-0.004731258,34,1,3704,1,3704.363,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100111
4594,1080213,6,0,Jean-Talon,5,0,-0.002695589,66.782,4593,-0.002695589,34,2,12910,1,12910.443,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080213
4595,1100021,0,1,Bordeaux,5,0,-0.003841998,321.408,4594,-0.003841998,34,1,1626,0,1626.798,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100021
4596,1100022,0,1,Bordeaux,5,0,0.002530115,260.883,4595,0.002530115,34,1,1028,0,1028.867,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100022
4597,1100023,0,1,Bordeaux,5,0,-0.006024448,64.743,4596,-0.006024448,34,1,933,0,933.073,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100023
4598,1010425,0,0,Lavigne,5,0,-0.001599337,231.369,4597,-0.001599337,34,1,497,0,497.005,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010425
4599,1010424,0,0,Laurin,5,0,-0.003833117,107.686,4598,-0.003833117,34,1,761,0,761.15,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010424
4600,1010420,7,1,Laurentien,5,0,-0.038572397,106.045,4599,-0.038572397,50,3,8546,0,8546.395,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010420
4601,1010417,7,-1,Laurentien,5,0,-0.01541465,174.526,4600,-0.01541465,42,3,11111,0,11111.525,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010417
4602,1010415,7,-1,Laurentien,5,0,0.000232891,42.952,4601,0.000232891,50,4,13555,0,13555.203,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010415
4603,1010413,7,-1,Laurentien,5,0,0.006284816,86.213,4602,0.006284816,50,4,14061,0,14061.226,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010413
4604,1010409,0,0,De Lamotte,5,0,0.013416803,262.383,4603,0.013416803,34,1,509,0,509.622,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010409
4605,1130148,0,-1,Hutchison,5,0,0.001773537,349.618,4604,0.001773537,34,1,3030,0,3030.599,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130148
4606,1130147,0,0,Hutchison,5,0,-0.004667595,122.131,4605,-0.004667595,34,1,1020,0,1020.789,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130147
4607,1130139,0,1,De L'Épée,5,0,-0.019709939,345.038,4606,-0.019709939,34,1,949,0,949.466,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130139
4608,1130137,0,1,De L'Épée,5,0,-0.019235563,259.961,4607,-0.019235563,34,1,1151,0,1151.465,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130137
4609,1120040,0,1,De Castelnau,5,0,-0.003027922,72.665,4608,-0.003027922,34,1,1841,0,1841.517,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120040
4610,1130043,6,0,Beaumont,5,0,0.001803181,22.186,4609,0.001803181,42,2,12298,1,12298.346,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130043
4611,1110610,7,1,Crémazie,5,0,-0.000200613,98.892,4610,-0.000200613,50,4,18730,0,18730.972,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110610
4612,1110607,0,1,Liège,5,0,-0.008419386,49.89,4611,-0.008419386,34,1,750,0,-8888,750,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110607
4613,1110605,6,1,Jarry,5,0,0.002438952,65.608,4612,0.002438952,34,1,7999,0,-8888,-8888,-8888,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110605
4614,1110604,6,1,Jarry,5,0,-0.003872875,92.926,4613,-0.003872875,50,2,7999,0,-8888,7999,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110604
4615,1110598,7,-1,Christophe-Colomb,5,23415,-0.014102051,214.174,4614,-0.014102051,50,2,14301,0,14301.113,0,1,-9999,NOT,1,1,1,1,-9999,0,0,4,44,0,4,3,0,0,0,0,No,1,0,0,0,0,OUI,2,OUEST,0,0,0,0,1,1110598
4616,1110597,7,-1,Christophe-Colomb,5,23414,-0.023719948,214.609,4615,-0.023719948,34,2,15206,0,15206.827,0,1,-9999,NOT,1,1,1,1,-9999,0,0,4,44,0,4,3,0,0,0,0,No,1,0,0,0,0,OUI,2,OUEST,0,0,0,0,1,1110597
4617,1010426,0,-1,Lavigne,5,0,-0.002707867,325.01,4616,-0.002707867,42,1,875,0,875.025,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010426
4618,1010427,0,-1,Lavigne,5,0,-0.004179782,323.015,4617,-0.004179782,34,1,4000,0,4000.03,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010427
4619,1011045,0,-1,Paix,5,0,-0.004221833,85.279,4618,-0.004221833,34,1,474,0,474.592,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011045
4620,1160093,0,1,Bordeaux,5,24276,-0.011701579,313.105,4619,-0.011701579,34,1,1588,0,1588.272,0,1,1,NOT,1,-9999,1,-9999,-9999,2.5,1.5,4,40,0,0,0,0,0,0,0,No,1,0,0,0,0,OUI,1,0,EST,0,0,0,1,1160093
4621,1120234,0,-1,Saint-Gérard,5,0,-0.003178369,136.739,4620,-0.003178369,34,1,632,0,632.106,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120234
4622,1120233,0,0,Saint-Élie,5,0,0.005856467,93.922,4621,0.005856467,34,1,1194,0,1194.127,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120233
4623,1120231,0,1,Saint-Dominique,5,0,-0.006204599,260.014,4622,-0.006204599,34,1,2637,0,2637.563,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120231
4624,1120230,0,1,Saint-Dominique,5,0,-0.011241148,262.855,4623,-0.011241148,34,1,1875,0,1875.061,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120230
4625,4000525,0,0,Guillaume,5,0,-0.048485603,41.253,4624,-0.048485603,34,1,713,0,713.351,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000525
4626,1625236,5,1,81e,5,0,0.009089055,243.486,4625,0.009089055,42,2,4172,0,4172.927,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625236
4627,1625236,5,1,81e,5,0,0.039657165,14.375,4626,0.039657165,42,2,4172,0,4172.927,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625236
4628,1620434,0,0,Morningside,5,0,-0.000565474,318.347,4627,-0.000565474,34,1,565,0,565.058,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620434
4629,1020132,0,0,Bohlé,5,0,0.00461589,62.832,4628,0.00461589,34,1,580,0,580.02,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020132
4630,1110596,7,1,Saint-Laurent,5,0,-0.010879556,261.662,4629,-0.010879556,42,3,15067,0,15067.261,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110596
4631,1020131,0,0,Bohlé,5,0,-0.004322873,16.194,4630,-0.004322873,34,1,480,0,480.829,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020131
4632,1020129,0,0,Bohlé,5,0,-0.004445651,51.741,4631,-0.004445651,34,1,566,0,566.606,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020129
4633,1020128,0,1,Bohlé,5,0,0.000182614,109.534,4632,0.000182614,34,1,750,0,-8888,750,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020128
4634,1020124,0,0,Birnam,5,0,-0.003247475,157.58,4633,-0.003247475,34,2,6137,1,6137.632,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020124
4635,1020119,0,0,Benjamin-Sulte,5,0,-0.010052859,125.35,4634,-0.010052859,34,1,272,0,272.614,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020119
4636,1020118,0,0,Benjamin-Sulte,5,0,0.002477379,141.292,4635,0.002477379,34,1,693,0,693.398,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020118
4637,1020117,0,0,Benjamin-Sulte,5,0,-0.000357265,139.964,4636,-0.000357265,34,1,540,0,540.835,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020117
4638,1160099,5,0,Carrières,5,0,-0.009601626,46.683,4637,-0.009601626,34,1,5193,1,5193.423,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160099
4639,1160095,0,1,Bordeaux,5,24275,-0.009823496,322.728,4638,-0.009823496,34,1,1356,0,1356.344,0,1,-9999,NOT,1,-9999,1,-9999,-9999,2.5,1.5,4,40,0,0,0,0,0,0,0,No,1,0,0,0,0,OUI,1,0,EST,0,0,0,1,1160095
4640,1160094,0,1,Bordeaux,5,21693,-0.011482448,321.091,4639,-0.011482448,34,1,1434,0,1434.706,0,1,1,NOT,1,-9999,1,-9999,-9999,2.5,1.5,4,40,0,0,0,0,0,0,0,No,1,0,0,0,0,OUI,1,0,EST,0,0,0,1,1160094
4641,1020130,0,0,Bohlé,5,0,0.00297521,26.891,4640,0.00297521,34,1,486,0,486.861,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020130
4642,1110279,6,-1,Jarry,5,0,0.000308437,97.747,4641,0.000308437,42,2,8064,0,8064.074,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110279
4643,1150033,5,-1,Bellechasse,5,23970,0.003498882,80.035,4642,0.003498882,34,1,4511,0,4511.85,0,1,1,NOT,1,1,1,1,-9999,1.5,1.5,4,40,0,0,0,0,0,0,0,No,1,9999,0,0,0,OUI,2,0,0,0,0,0,0,1150033
4644,1150031,5,-1,Bellechasse,5,21474,0.007390151,100.552,4643,0.007390151,34,1,5544,0,5544.663,0,1,1,NOT,1,1,1,1,-9999,1.5,1.5,4,40,0,0,0,0,0,0,0,No,1,9999,0,0,0,OUI,2,0,0,0,0,0,0,1150031
4645,1130307,0,-1,Jarry,5,0,-0.002536894,71.376,4644,-0.002536894,34,1,1170,0,1170.419,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130307
4646,1130306,0,1,Wiseman,5,0,-0.009167714,36,4645,-0.009167714,34,1,1499,0,-8888,-8888,-8888,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130306
4647,1130305,0,1,Wiseman,5,0,-0.018136267,282.137,4646,-0.018136267,42,1,1447,0,1447.721,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130305
4648,1010406,7,1,Lachapelle,5,0,-0.011525529,124.261,4647,-0.011525529,42,2,9832,0,9832.729,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010406
4649,1010405,7,1,Lachapelle,5,0,-0.023956079,70.207,4648,-0.023956079,34,3,9140,0,9140.834,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010405
4650,1010404,7,1,Lachapelle,5,0,-0.017396343,196.396,4649,-0.017396343,50,3,8161,0,8161.072,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010404
4651,1010403,7,1,Lachapelle,5,0,-0.018257164,88.741,4650,-0.018257164,42,3,6374,0,6374.237,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010403
4652,1010401,7,1,Lachapelle,5,0,-0.015106564,109.235,4651,-0.015106564,42,3,6993,0,6993.81,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010401
4653,1010400,7,1,Lachapelle,5,0,-0.01350038,160.752,4652,-0.01350038,58,3,8076,0,8076.952,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010400
4654,4012952,0,1,Curatteau,5,0,0.000253513,118.348,4653,0.000253513,50,1,1544,0,1544.241,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4012952
4655,4013990,6,1,Non-nommée,5,0,0.015812772,33.521,4654,0.015812772,34,1,1973,0,1973.46,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013990
4656,4013990,6,1,Non-nommée,5,0,0.015441996,13.6,4655,0.015441996,34,1,1973,0,1973.46,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013990
4657,4013986,5,0,Musée,5,0,-8888,7.744,4656,0.190119275,34,1,8094,1,8094.462,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013986
4658,4013986,5,0,Musée,5,0,0,23.311,4657,0,34,1,8094,1,8094.462,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013986
4659,1080084,7,-1,Crémazie,5,0,0.001447801,67.857,4658,0.001447801,50,3,11240,0,11240.955,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080084
4660,1080083,7,-1,Crémazie,5,0,0.002125667,67.93,4659,0.002125667,50,3,10662,0,10662.275,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080083
4661,1080082,7,-1,Crémazie,5,0,-0.002515072,67.6,4660,-0.002515072,50,3,11489,0,11489.034,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080082
4662,1100025,0,1,Bordeaux,5,0,-0.002364551,262.233,4661,-0.002364551,34,1,1094,0,1094.498,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100025
4663,1100024,0,1,Bordeaux,5,0,-0.006629442,194.605,4662,-0.006629442,34,1,2298,0,2298.911,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100024
4664,1130309,0,-1,Jarry,5,0,-0.005589819,71.6,4663,-0.005589819,34,1,890,0,890.992,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130309
4665,1130310,7,-1,Parc,5,0,0.002518548,171.223,4664,0.002518548,42,3,7001,0,7001.228,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130310
4666,1130312,0,1,Non-nommée,5,0,0.008345254,22.77,4665,0.008345254,50,1,2704,0,2704.141,0,1,1,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130312
4667,1130313,0,0,Parc,5,0,-0.016009259,90.581,4666,-0.016009259,34,1,1584,0,1584.309,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130313
4668,1140376,5,0,Saint-Zotique,5,0,-0.002945902,50.922,4667,-0.002945902,34,2,5289,1,5289.688,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140376
4669,1140375,5,0,Saint-Zotique,5,0,-0.006134458,58.691,4668,-0.006134458,34,2,5554,1,5554.312,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140375
4670,1140374,5,0,Saint-Zotique,5,0,0.000155301,64.387,4669,0.000155301,34,2,5560,1,5560.994,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140374
4671,1140373,5,0,Saint-Zotique,5,0,0.006543421,67.25,4670,0.006543421,34,2,4466,1,4466.027,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140373
