fid,ID_TRC,CLASSE,SENS_CIR,NOM_VOIE,POSITION_R,ID_CYCL,slope_edit,length,umbrell_id,slope,Q85,NBLane,ADT,centerline,Estmt,DJMA_d,CL_d,CL_x,DIVIDED,lts,lts_c,lts_w,lts_c_w,lts_negD,Reach,BLanW,TYPE_VOIE,TYPE_VOIE2,ParkW,contraReac,contraLanW,contraParW,Reach_negD,BLanW_negD,ParkW_negD,asymmetric,GESTION_R,ed_typvoi,ed_typvoi2,drvewayVis,Narrow1Way,PROTEGE_4S,NBR_VOIE,LOCALISATI,LOCALIS_2,cn_Buff_R,cn_Buff_L,Buffer_R,Buffer_L,ID_TRC_int
22,1260899,5,-1,Sainte-Catherine,5,0,0.011691662,102.648,21,0.011691662,34,4,7937,0,7937.627,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260899
23,1110112,7,1,Crémazie,5,0,0.006925242,64.92,22,0.006925242,50,4,20002,0,20002.102,0,1,-9999,NOT,4,-9999,4,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110112
24,1240110,0,-1,Esplanade,5,24039,0.004610703,281.981,23,0.004610703,34,1,851,0,851.497,0,1,1,NOT,1,1,1,1,-9999,4,1.5,3,33,2.5,4,1.5,2.5,0,0,0,No,1,9999,0,0,0,NON,2,0,0,0,0,0,0,1240110
25,1060221,0,-1,De Martigny,5,0,0.008497637,265.982,24,0.008497637,34,1,946,0,946.445,0,1,1,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060221
26,1060216,0,0,Étienne-Brûlé,5,0,-0.006307726,39.732,25,-0.006307726,34,1,819,0,819.202,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060216
27,1060215,0,0,De Lorimier,5,0,-0.017604112,70.479,26,-0.017604112,34,1,871,0,871.93,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060215
28,1060214,0,-1,De Lorimier,5,0,-0.020068734,187.873,27,-0.020068734,34,1,1663,0,1663.128,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060214
29,1060213,0,1,De Lorimier,5,0,-0.022025324,308.766,28,-0.022025324,34,1,2764,0,2764.004,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060213
30,1060210,0,1,De Lorimier,5,0,-0.039519556,201.186,29,-0.039519556,34,1,1731,0,1731.228,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060210
31,1060209,0,0,De Lorimier,5,0,-0.021327962,265.466,30,-0.021327962,34,1,2800,0,2800.26,0,0,-8888,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060209
32,1060208,0,0,De Lorimier,5,0,0.006943173,265.222,31,0.006943173,34,1,2569,1,2569.655,0,0,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060208
33,1060207,0,0,De Lorimier,5,0,0.0117483,188.982,32,0.0117483,34,1,3216,1,3216.703,0,1,-9999,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060207
34,1060202,0,0,Lille,5,0,-0.027805348,121.571,33,-0.027805348,34,1,712,0,712.557,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060202
35,1260115,4,0,Chelsea,5,0,-0.028672036,26.01,34,-0.028672036,34,1,-8888,-9999,-8888,-8888,-8888,-8888,NOT,5,5,5,5,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260115
36,1260113,5,-1,Cedar,5,0,-0.046525154,33.104,35,-0.046525154,42,1,2250,0,-8888,-8888,-8888,-8888,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260113
37,1240117,0,-1,Esplanade,5,0,-0.013723245,306.08,36,-0.013723245,34,1,1501,0,1501.312,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240117
38,1240116,0,-1,Esplanade,5,0,0.015536665,209.732,37,0.015536665,34,1,1286,0,1286.526,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240116
39,1240115,0,-1,Esplanade,5,0,-0.006212694,196.103,38,-0.006212694,34,1,1174,0,1174.366,0,1,1,NOT,2,-9999,2,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240115
40,1240114,0,-1,Esplanade,5,23599,0.016105462,79.688,39,0.016105462,34,1,901,0,901.817,0,1,1,NOT,1,1,1,1,-9999,0,0,3,31,0,4,1.5,2.5,0,0,0,No,1,9999,0,0,0,NON,1,0,0,0,0,0,0,1240114
41,1240113,0,-1,Esplanade,5,21249,0.007761113,86.336,40,0.007761113,34,1,1004,0,1004.802,0,1,1,NOT,2,1,2,1,-9999,0,0,3,31,0,4,1.5,2.5,0,0,0,No,1,9999,0,0,0,NON,1,0,0,0,0,0,0,1240113
42,1240112,0,-1,Esplanade,5,21250,-0.004824089,128.535,41,-0.004824089,34,1,929,0,929.04,0,1,1,NOT,1,1,1,1,-9999,0,0,3,31,0,4,1.7,2.3,0,0,0,No,1,9999,0,0,0,NON,1,0,0,0,0,0,0,1240112
43,1240111,0,-1,Esplanade,5,23600,0.011481064,178.572,42,0.011481064,34,1,691,0,691.442,0,1,1,NOT,1,1,1,1,-9999,0,0,3,31,0,4,1.7,2.3,0,0,0,No,1,9999,0,0,0,NON,1,0,0,0,0,0,0,1240111
44,1240107,0,0,Elmire,5,0,-0.021679976,69.195,43,-0.021679976,34,1,642,0,642.187,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240107
45,1260898,5,-1,Sainte-Catherine,5,0,0.013066892,93.375,44,0.013066892,34,4,7994,0,7994.72,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260898
46,1260897,5,-1,Sainte-Catherine,5,0,0.010548722,93.86,45,0.010548722,34,4,7443,0,7443.165,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260897
47,1260896,5,-1,Sainte-Catherine,5,0,0.007588194,94.67,46,0.007588194,34,4,8097,0,8097.821,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260896
48,1041155,7,-1,Crémazie,5,0,-0.009072093,17.126,47,-0.009072093,50,1,7999,0,-8888,-8888,-8888,-8888,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041155
49,1041153,7,-1,Crémazie,5,0,0.000422816,66.919,48,0.000422816,42,4,18468,0,18468.048,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041153
50,1041150,7,-1,Crémazie,5,0,-0.003166355,93.102,49,-0.003166355,42,4,14884,0,14884.863,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041150
51,1041149,7,-1,Crémazie,5,0,-0.003131885,75.117,50,-0.003131885,42,4,20061,0,20061.383,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041149
