stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_ind,vertex_par,vertex_p_1,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/06/25 16:34:16.000,52,2013/06/25 16:21:21.000,3163,Commute,,52,,0,0,0,0,0.000000000000000,296.499623166683705,24323,1,0.000000000000000,-73.577476909289004,45.506900229939198,-73.577476909289004,45.506900229939198
2013/06/25 16:34:16.000,52,2013/06/25 16:21:21.000,3163,Commute,,52,,-1,407,0,407,0.036959387242006,292.849727102343934,20067,1,0.000000000000000,-73.604449803120900,45.519657363228802,-73.604449803120900,45.519657363228802
2013/06/25 16:34:16.000,53,2013/06/25 16:21:20.000,3115,Commute,,53,,0,0,0,0,0.000000000000000,42.254480722078505,24323,1,0.000000000000000,-73.577476909289004,45.506900229939198,-73.577476909289004,45.506900229939198
2013/06/25 16:34:16.000,53,2013/06/25 16:21:20.000,3115,Commute,,53,,-1,354,0,354,0.036582490802440,288.664003697287058,20067,1,0.000000000000000,-73.604449803120900,45.519657363228802,-73.604449803120900,45.519657363228802
2013/06/26 13:00:05.000,56,2013/06/26 12:46:01.000,5376,Domicile-travail,,56,,0,0,0,0,0.000000000000000,42.086237345994050,19768,1,0.000000000000000,-73.605019101639300,45.519026926857201,-73.605019101639300,45.519026926857201
2013/06/26 13:00:05.000,56,2013/06/26 12:46:01.000,5376,Domicile-travail,,56,,-1,713,0,713,0.062990819699478,8.874873722226686,27795,1,0.000000000000000,-73.555549098640498,45.496965473937699,-73.555549098640498,45.496965473937699
2013/06/29 12:52:21.000,114,2013/06/29 12:44:04.000,1448,Autre,,114,,0,0,0,0,0.000000000000000,114.506662000258800,26687,1,0.000008324523112,-73.563140793721004,45.516261783164303,-73.563144917577546,45.516254551878646
2013/06/29 12:52:21.000,114,2013/06/29 12:44:04.000,1448,Autre,,114,,-1,208,0,208,0.016752924990609,101.464661245622906,28416,1,0.000000000000000,-73.551402444324694,45.509881718523602,-73.551402444324694,45.509881718523602
2013/06/29 15:34:13.000,115,2013/06/29 15:19:13.000,4886,Errand,,115,,0,0,0,0,0.000000000000000,40.729983346402982,22277,1,0.000000000000000,-73.590561558139100,45.544658532122199,-73.590561558139100,45.544658532122199
2013/06/29 15:34:13.000,115,2013/06/29 15:19:13.000,4886,Errand,,115,,-1,567,0,567,0.055147306420449,35.747296029024255,29447,1,0.000000000000000,-73.545653249713993,45.550166043942497,-73.545653249713993,45.550166043942497
2013/06/29 17:39:29.000,116,2013/06/29 17:26:26.000,4727,Errand,,116,,0,0,0,0,0.000000000000000,278.530361750293764,29117,1,0.000000000000000,-73.546039206044796,45.549629993974399,-73.546039206044796,45.549629993974399
2013/06/29 17:39:29.000,116,2013/06/29 17:26:26.000,4727,Errand,,116,,-1,474,0,474,0.053935614264332,273.051083565741578,22277,1,0.000000000000000,-73.590561558139100,45.544658532122199,-73.590561558139100,45.544658532122199
2013/06/29 20:17:48.000,118,2013/06/29 19:28:24.000,14684,Social,,118,,0,0,0,0,0.000000000000000,287.301834974029759,22277,1,0.000000000000000,-73.590561558139100,45.544658532122199,-73.590561558139100,45.544658532122199
2013/06/29 20:17:48.000,118,2013/06/29 19:28:24.000,14684,Social,,118,,-1,1678,0,1678,0.160921408068647,115.002004760287377,22764,1,0.000000000000000,-73.585927968658694,45.472064624561398,-73.585927968658694,45.472064624561398
2013/06/30 12:25:42.000,121,2013/06/30 12:08:07.000,3731,Work-related,,121,,0,0,0,0,0.000000000000000,105.919319032725312,13068,1,0.000000000000000,-73.654054586059402,45.554515145836397,-73.654054586059402,45.554515145836397
2013/06/30 12:25:42.000,121,2013/06/30 12:08:07.000,3731,Work-related,,121,,-1,437,0,437,0.044633853804353,113.805433786799540,18579,1,0.000000000000000,-73.615433196460501,45.544010576778199,-73.615433196460501,45.544010576778199
