stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_index,vertex_part,vertex_part_index,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/06/25 16:34:16.000,52,2013/06/25 16:21:21.000,3163,Commute,,52,,1,1,0,1,3.74562624036114e-05,312.076083250774,24323,1,1.26913369882367,298743.289401114,5040780.37046574,298744.281966011,5040779.5795705
2013/06/25 16:34:16.000,52,2013/06/25 16:21:21.000,3163,Commute,,52,,-2,406,0,406,0.0349185967047423,298.353431080493,20393,1,0,296786.880372671,5042110.35279227,296786.880372671,5042110.35279227
2013/06/25 16:34:16.000,53,2013/06/25 16:21:20.000,3115,Commute,,53,,1,1,0,1,2.57553981773805e-05,350.437988276055,24323,1,0.624559460127448,298747.262292534,5040780.62785383,298746.978748472,5040780.07136728
2013/06/25 16:34:16.000,53,2013/06/25 16:21:20.000,3115,Commute,,53,,-2,353,0,353,0.0344855210540795,291.336880986066,20393,1,13.6160220038646,296795.182711289,5042123.83382334,296787.129785505,5042112.85445899
2013/06/26 13:00:05.000,56,2013/06/26 12:46:01.000,5376,Domicile-travail,,56,,1,1,0,1,0.000224370271463127,85.6635381904836,19769,1,15.9744007348224,296607.277249117,5042147.09686179,296597.168440505,5042134.72780899
2013/06/26 13:00:05.000,56,2013/06/26 12:46:01.000,5376,Domicile-travail,,56,,-2,712,0,712,0.0628367264240473,55.9363676963356,27795,1,14.6348102324954,300456.728724778,5039656.11834684,300458.16,5039670.683
2013/06/29 12:52:21.000,114,2013/06/29 12:44:04.000,1448,Autre,,114,,1,1,0,1,0.000730583062059197,90.1394763274116,26685,1,23.019224012888,299918.87002867,5041784.16820769,299900.475503989,5041798.00750449
2013/06/29 12:52:21.000,114,2013/06/29 12:44:04.000,1448,Autre,,114,,-2,207,0,207,0.0166909147873177,59.2836870031683,28416,1,2.44076443920157,300778.84876462,5041109.58336934,300781.153886967,5041108.78103399
2013/06/29 15:34:13.000,115,2013/06/29 15:19:13.000,4886,Errand,,115,,1,1,0,1,9.5655122088174e-05,69.1129232789764,22277,1,6.98430064799578,297733.0805535,5044983.75101434,297729.753570505,5044977.61003399
2013/06/29 15:34:13.000,115,2013/06/29 15:19:13.000,4886,Errand,,115,,-2,566,0,566,0.0549398971764243,346.156176812821,29447,1,18.885559659442,301225.893581256,5045566.07982611,301234.46744593,5045582.90698298
2013/06/29 17:39:29.000,116,2013/06/29 17:26:26.000,4727,Errand,,116,,1,1,0,1,0.00352389333780773,283.482645572768,28826,1,10.6819428099729,300933.124062472,5045583.47859578,300929.410033989,5045573.46311303
2013/06/29 17:39:29.000,116,2013/06/29 17:26:26.000,4727,Errand,,116,,-2,473,0,473,0.0515938783024139,245.112692427385,22579,1,15.9816882346784,297910.785573131,5044961.64576148,297923.868966011,5044952.46757051
